,tfp
1962-12-31,-0.008363657812615721
1963-03-31,-0.012815170306800905
1963-06-30,0.0015967524359941088
1963-09-30,0.01075607099472431
1963-12-31,0.008450323442504404
1964-03-31,0.027381758551532354
1964-06-30,0.04521173808833323
1964-09-30,0.047830016143754595
1964-12-31,0.0155078396643753
1965-03-31,0.04374453099786324
1965-06-30,0.021960437530195165
1965-09-30,0.03145162749421537
1965-12-31,0.07912255142133628
1966-03-31,0.06966252032008713
1966-06-30,0.01639935564984607
1966-09-30,0.00042420180465607693
1966-12-31,-0.02391211377922009
1967-03-31,-0.043426092349031276
1967-06-30,-0.012314139241517141
1967-09-30,-0.0322321512570789
1967-12-31,-0.030006284265872152
1968-03-31,0.014761293898536865
1968-06-30,0.01308424406571218
1968-09-30,0.02716369158805554
1968-12-31,0.015127965396593002
1969-03-31,0.02847599292553582
1969-06-30,-0.017502573733064408
1969-09-30,-0.04579805926295377
1969-12-31,-0.07923070060013515
1970-03-31,-0.08929357421844186
1970-06-30,-0.08927975375123742
1970-09-30,-0.05734382502181279
1970-12-31,-0.04516739781638757
1971-03-31,0.011558121241371344
1971-06-30,0.03731512808098825
1971-09-30,0.05301429190424911
1971-12-31,0.08429398383327191
1972-03-31,0.11972296246937741
1972-06-30,0.1589546734906957
1972-09-30,0.16634079746720287
1972-12-31,0.2222013787501207
1973-03-31,0.2236669675578069
1973-06-30,0.1315865385617545
1973-09-30,0.07262438664768545
1973-12-31,-0.02058432571358426
1974-03-31,-0.1509057585505158
1974-06-30,-0.18206111305850714
1974-09-30,-0.18894335521626449
1974-12-31,-0.24397576668924847
1975-03-31,-0.19280583813867225
1975-06-30,-0.12680489566260322
1975-09-30,-0.10436648080121802
1975-12-31,-0.07690215618458907
1976-03-31,-0.00781575801445078
1976-06-30,0.023568171203905308
1976-09-30,0.037596335723779184
1976-12-31,0.08584071593039044
1977-03-31,0.10590515158728264
1977-06-30,0.10796460023366761
1977-09-30,0.11262952814327765
1977-12-31,0.1342029309256143
1978-03-31,0.12473496438729814
1978-06-30,0.18120825582902045
1978-09-30,0.17686921556186097
1978-12-31,0.17925202630750237
1979-03-31,0.10789015343844577
1979-06-30,0.042083344032352255
1979-09-30,0.03271872380423768
1979-12-31,-0.009624168855818183
1980-03-31,-0.07940263620559129
1980-06-30,-0.19830982430390276
1980-09-30,-0.16870788723682595
1980-12-31,-0.14020648329515528
1981-03-31,-0.16150943354007552
1981-06-30,-0.1636494516972219
1981-09-30,-0.1585218148759715
1981-12-31,-0.1513540251120319
1982-03-31,-0.14010304671724538
1982-06-30,-0.12699937559735786
1982-09-30,-0.1341152541236147
1982-12-31,-0.060929983627862616
1983-03-31,-0.02084925425482742
1983-06-30,-0.01355630022548604
1983-09-30,0.02881422052331728
1983-12-31,0.06310465163803092
1984-03-31,0.02816922535211286
1984-06-30,0.06354341830030652
1984-09-30,0.051975442650628034
1984-12-31,0.05922214507835033
1985-03-31,0.06746146029679645
1985-06-30,0.05935146471063146
1985-09-30,0.08862223686632653
1985-12-31,0.05164774353540569
1986-03-31,0.07904939402840072
1986-06-30,0.18080639842614588
1986-09-30,0.20728748853308931
1986-12-31,0.19489387789793167
1987-03-31,0.0808620953530792
1987-06-30,0.07756390512684419
1987-09-30,0.07812232034390076
1987-12-31,0.045928217314638475
1988-03-31,0.06811079479512983
1988-06-30,0.0636250807691956
1988-09-30,0.04307039744301111
1988-12-31,0.06287674206172533
1989-03-31,0.02917497934234481
1989-06-30,-0.034844576980020414
1989-09-30,0.014588896900579629
1989-12-31,-0.00035630086932492144
1990-03-31,-0.03620762236782005
1990-06-30,-0.04863720037630892
1990-09-30,-0.08623905566121282
1990-12-31,-0.1708629451332795
1991-03-31,-0.16283462197733423
1991-06-30,-0.12613761666919765
1991-09-30,-0.10886737371561439
1991-12-31,-0.1232957181045834
1992-03-31,-0.06685723886474337
1992-06-30,-0.05081989852723301
1992-09-30,-0.044251477447234344
1992-12-31,-0.011330152719870812
1993-03-31,-0.02887495572063037
1993-06-30,0.0044223962337626155
1993-09-30,0.031115717211764204
1993-12-31,0.04303404770976793
1994-03-31,0.054993094021892786
1994-06-30,0.05374449317394081
1994-09-30,0.02195513482683098
1994-12-31,0.030198384657159627
1995-03-31,0.026611009779840655
1995-06-30,0.01785803222154625
1995-09-30,0.018593837022024218
1995-12-31,0.013519275776131101
1996-03-31,0.001056890716263803
1996-06-30,-0.014358347894364298
1996-09-30,-0.007342625039783335
1996-12-31,-0.035164270478621695
1997-03-31,-0.043553398751207895
1997-06-30,-0.04526799951063876
1997-09-30,-0.005497024945971929
1997-12-31,-0.014709081343151853
1998-03-31,0.014276646788171643
1998-06-30,0.05711404630878114
1998-09-30,0.061843169669226095
1998-12-31,0.07467344066998605
1999-03-31,0.06592997589572192
1999-06-30,0.04314186522021357
1999-09-30,0.023963341518206782
1999-12-31,0.01095533432246798
2000-03-31,0.002897855651708081
2000-06-30,-0.012718315252836732
2000-09-30,-0.029675466577400944
2000-12-31,-0.031031936396742288
2001-03-31,-0.04241226673223952
2001-06-30,-0.06418540680927132
2001-09-30,-0.062131066585292216
2001-12-31,0.020209855057222725
2002-03-31,0.021422953538871026
2002-06-30,-0.016323169352087108
2002-09-30,-0.011934365270574787
2002-12-31,-0.01655881774886858
2003-03-31,-0.05094277762677213
2003-06-30,0.04117956493046204
2003-09-30,0.051293773633731554
2003-12-31,0.057595592865881784
2004-03-31,0.027552850990351097
2004-06-30,0.019825808028434144
2004-09-30,0.04087771012133601
2004-12-31,0.019834239346756544
2005-03-31,0.05289811315492976
2005-06-30,0.06250942827608919
2005-09-30,-0.011282004680244428
2005-12-31,-0.011445092126517231
2006-03-31,0.01859163797163932
2006-06-30,-0.023764458337512506
2006-09-30,-0.056042597971582175
2006-12-31,0.03114426783605473
2007-03-31,-0.0019890406138221017
2007-06-30,-0.05831538914353218
2007-09-30,-0.0705372190576935
